team_name,team_ID,team_state,team_division,team_division_ID,team_conference,team_conference_ID
Acadia University,10003220,NS,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Adams State University,627,CO,Division 2,2,Rocky Mountain,rmac
Adelphi University,442,NY,Division 2,2,Northeast 10,ne10
Agnes Scott College,208,GA,NONE,NONE,NONE,NONE
Alabama A&M University,10002634,AL,NONE,NONE,NONE,NONE
Albertus Magnus College,10009436,CT,Division 3,3,GNAC,gnac
Albion College,210,MI,Division 3,3,MIAA,miaa
Albright College,211,PA,Division 3,3,Middle Atlantic,mid-atlantic
Alderson Broaddus University,10002388,WV,Division 2,2,GMAC,GMAC
Alfred State College,642,NY,Division 3,3,Allegheny,amcc
Alfred University,212,NY,Division 3,3,Empire 8,empire8
Allan Hancock College,10009168,CA,CCCAA,6,NONE,NONE
Allegheny College,19,PA,Division 3,3,North Coast,ncac
Alma College,213,MI,Division 3,3,MIAA,miaa
American River College,569,CA,CCCAA,6,NONE,NONE
American University,214,DC,Division 1,1,Patriot,patriot
Amherst College,103,MA,Division 3,3,NESCAC,nescac
Anderson University,10008403,IN,Division 3,3,Heartland,hcac
Anne Arundel Community College,10009581,MD,NONE,NONE,NONE,NONE
Arcadia University,222,PA,Division 3,3,Middle Atlantic,mid-atlantic
Arizona Christian University,10010278,AZ,NAIA,4,PCSC,paccoast
Arizona State University,87,AZ,Division 1,1,Pac 12,pac-12
Asbury University,381,KY,NAIA,4,Appalachian Athletic,App
Ashland University,217,OH,Division 2,2,GLIAC,gliac
Assumption College,564,MA,Division 2,2,Northeast 10,ne10
Auburn University,127,AL,Division 1,1,SEC,sec
Augsburg University,559,MN,Division 3,3,MIAC,miac
Augustana College,232,IL,Division 3,3,CCIW,cciw
Augustana University (SD),10007690,SD,Division 2,2,Northern Sun,nsic
Austin College,219,TX,Division 3,3,SCAC,scac
Azuza Pacific University,639,CA,Division 2,2,PCSC,paccoast
Babson College,207,MA,Division 3,3,NEWMAC,newmac
Bakersfield College,570,CA,CCCAA,6,NONE,NONE
Baldwin-Wallace University,1,OH,Division 3,3,Ohio,oac
Ball State University,221,IN,Division 1,1,Mid-American,mac
Bard College,8478,NY,Division 3,3,Liberty,liberty
Bard College-Simon's Rock,10006628,MA,NONE,NONE,NONE,NONE
Barton College,10008686,NC,Division 2,2,Carolinas,carolinas
Barton County Community College,10012513,KS,NJCAA,5,Independent,independen
Baruch College,563,NY,Division 3,3,CUNYAC,cunyac
Bates College,76,ME,Division 3,3,NESCAC,nescac
Bellarmine University,10002386,KY,Division 1,1,CCSA,ccsa
Beloit College,223,WI,Division 3,3,Midwest,midwest
Bemidji State University,10009582,MN,NONE,NONE,NONE,NONE
Benedictine University (AZ),10011100,AZ,NONE,NONE,NONE,NONE
Benedictine University (Illinois),224,IL,Liberal Arts,libarts,NONE,NONE
Bentley University,225,MA,Division 2,2,Northeast 10,ne10
Berea College,382,KY,Appalachian Swim,asc,NONE,NONE
Bergen Community College,10009583,NJ,NONE,NONE,NONE,NONE
Berry College,611,GA,Division 3,3,SAA,saa
Bethany College (WV),226,WV,Division 3,3,Presidents,presidents
Bethel College (KS),10022957,KS,NAIA,4,NONE,NONE
Bethel University,10000397,TN,NAIA,4,Mid-South,mid-south
Bethel University (Indiana),8024,IN,NAIA,4,NONE,NONE
Binghamton University,383,NY,Division 1,1,America East,americaeast
Biola University,384,CA,Division 2,2,PCSC,paccoast
Birmingham Southern College,10001786,AL,Division 3,3,SAA,saa
Bloomsburg University,227,PA,Division 2,2,PSAC,psac
Bluefield State College,10025546,WV,Division 2,2,NONE,NONE
Boise State University,516,ID,Division 1,1,Mountain West,mwc
Borough of Manhattan Community College,643,NY,NJCAA,5,Independent,independen
Boston College,228,MA,Division 1,1,ACC,acc
Boston University,229,MA,Division 1,1,Patriot,patriot
Bowdoin College,36,ME,Division 3,3,NESCAC,nescac
Bowling Green State University,230,OH,Division 1,1,Mid-American,mac
Bradley University,10007642,IL,NONE,NONE,NONE,NONE
Brandeis University,4,MA,Division 3,3,UAA,uaa
Brenau University,624,GA,NAIA,4,Appalachian Athletic,App
Brevard Community College,10009584,FL,NONE,NONE,NONE,NONE
Bridgewater College,549,VA,Division 3,3,ODAC,odac
Bridgewater State University,195,MA,Division 3,3,NEISDA,neisda
Brigham Young University,220,UT,Division 1,1,MPSF,mpsf
Brock University,10010708,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Brooklyn College,218,NY,Division 3,3,CUNYAC,cunyac
Broward Community College,10009580,FL,NONE,NONE,NONE,NONE
Brown University,17,RI,Division 1,1,Ivy,ivy
Bryant University,522,RI,Division 1,1,MAAC,maac
Bryn Mawr College,183,PA,Division 3,3,Centennial,centennial
Bucknell University,184,PA,Division 1,1,Patriot,patriot
Buena Vista College,10002638,IA,NONE,NONE,NONE,NONE
Buffalo State College,353,NY,Division 3,3,SUNYAC,sunyac
Burlington Community College,10009634,NJ,NONE,NONE,NONE,NONE
Butler University,186,IN,Division 1,1,Big East,bigeast
Cabrillo College,571,CA,CCCAA,6,NONE,NONE
Cabrini University,8471,PA,Division 3,3,Atlantic East,aec
Cal Poly-Pomona,10002639,CA,NONE,NONE,NONE,NONE
California (PA) University,67,PA,Division 2,2,PSAC,psac
California Baptist University,385,CA,Division 1,1,WAC,wac
California Institute of Technology,187,CA,Division 3,3,SCIAC,sciac
California Lutheran University,619,CA,Division 3,3,SCIAC,sciac
California Polytechnic State University,188,CA,Division 1,1,MPSF,mpsf
California State University East Bay,190,CA,Division 2,2,PCSC,paccoast
"California State University, Bakersfield",116,CA,Division 1,1,WAC,wac
"California State University, Chico",10002640,CA,NONE,NONE,NONE,NONE
"California State University, Fullerton",10002641,CA,NONE,NONE,NONE,NONE
"California State University, Los Angeles",10002643,CA,NONE,NONE,NONE,NONE
"California State University, Northridge",191,CA,NONE,NONE,NONE,NONE
"California State University, Sacramento",10009437,CA,NONE,NONE,NONE,NONE
"California State University, San Bernardino",10002644,CA,NONE,NONE,NONE,NONE
Calvin College,55,MI,Division 3,3,MIAA,miaa
Campbell University,566,NC,Division 1,1,CCSA,ccsa
Campbellsville University,541,KY,NAIA,4,Mid-South,mid-south
Canisius College,196,NY,Division 1,1,MAAC,maac
Capital University,10009585,OH,NONE,NONE,NONE,NONE
Carleton College,197,MN,Division 3,3,MIAC,miac
Carleton University,10010714,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Carnegie Mellon University,33,PA,Division 3,3,UAA,uaa
Carroll University (WI),198,WI,Division 3,3,CCIW,cciw
Carson-Newman University,10003343,TN,Division 2,2,Bluegrass,bluegrass
Carthage College,199,WI,Division 3,3,CCIW,cciw
Case Western Reserve University,200,OH,Division 3,3,UAA,uaa
Catawba College,201,NC,Division 2,2,Bluegrass,bluegrass
Catholic University,202,DC,Division 3,3,Landmark,landmark
Catonsville Community College,10009586,MD,NONE,NONE,NONE,NONE
Cazenovia College,640,NY,Division 3,3,NEAC,neac
Cedar Crest College,10004596,PA,Division 3,3,NEAC,neac
Centenary College,520,LA,Division 3,3,SCAC,scac
Central Arkansas University,10009631,AR,NONE,NONE,NONE,NONE
Central Connecticut State University,203,CT,Division 1,1,Northeast,nec
Central Michigan University,10002646,MI,NONE,NONE,NONE,NONE
Central Missouri State University,10002647,MO,NONE,NONE,NONE,NONE
Central Washington University,204,WA,NONE,NONE,NONE,NONE
Centre College,244,KY,Division 3,3,SAA,saa
Cerritos College,572,CA,CCCAA,6,NONE,NONE
Chabot College,573,CA,CCCAA,6,NONE,NONE
Chaffey College,574,CA,CCCAA,6,NONE,NONE
Chapman University,85,CA,Division 3,3,SCIAC,sciac
Chatham University,636,PA,Division 3,3,Presidents,presidents
Chicago State University,10002648,IL,NONE,NONE,NONE,NONE
Chowan University,10007086,NC,Division 2,2,Bluegrass,bluegrass
Citrus College,553,CA,CCCAA,6,NONE,NONE
City College of New York,10002665,NY,NONE,NONE,NONE,NONE
City College of San Francisco,8481,CA,CCCAA,6,NONE,NONE
Claremont McKenna-Harvey Mudd-Scripps Colleges,261,CA,Division 3,3,SCIAC,sciac
Clarion University,114,PA,Division 2,2,PSAC,psac
Clark University,262,MA,Division 3,3,NEWMAC,newmac
Clarkson University,263,NY,Division 3,3,Liberty,liberty
Clemson University,20,SC,NONE,NONE,NONE,NONE
Cleveland State University,264,OH,Division 1,1,Horizon,horizon
Clovis Community College,10009479,CA,NONE,NONE,NONE,NONE
Coe College,265,IA,Division 3,3,Liberal Arts,libarts
Colby College,69,ME,Division 3,3,NESCAC,nescac
Colby-Sawyer College,386,NH,Division 3,3,GNAC,gnac
